N° d'horodateur;Alimentation;Modèle;Adresse;Arrondissement;Type de régime;Tarif du stationnement;Zone résidentielle;Tarif horaire;geo_shape;geo_point_2d
11190801;PILE;ECM1;77   AVENUE BOSQUET;7;MIX;Z1 MIX 6H 5U;7J;4.0;"{""type"": ""Point"", ""coordinates"": [2.305431999628083, 48.85511299871055]}";48.8551129987,2.30543199963
11290103;PILE;ECA1;19   RUE BOUCHARDON;10;MIX;Z1 MIX 6H 5U;10F;4.0;"{""type"": ""Point"", ""coordinates"": [2.357744999626041, 48.8707159989678]}";48.870715999,2.35774499963
11700204;SOLAIRE;ECA1;38   RUE DES BOULETS;11;MIX;Z1 MIX 6H 5U;11L;4.0;"{""type"": ""Point"", ""coordinates"": [2.389472000434024, 48.85175299871401]}";48.8517529987,2.38947200043
11930203;SOLAIRE;ECA1;19   RUE DES BOURDONNAIS;1;MIX;Z1 MIX 6H 5U;1E;4.0;"{""type"": ""Point"", ""coordinates"": [2.344100000396612, 48.8592079992513]}";48.8592079993,2.3441000004
12770601;PILE;ECM1;77   AVENUE DE BRETEUIL;15;MIX;Z2 MIX 6H 5U;15G;2.4;"{""type"": ""Point"", ""coordinates"": [2.311942000083206, 48.846172999082675]}";48.8461729991,2.31194200008
13000601;SOLAIRE;ECA1;35   RUE BRILLAT SAVARIN;13;MIX;Z2 MIX 6H 5U;13F;2.4;"{""type"": ""Point"", ""coordinates"": [2.345687000598058, 48.82225799867494]}";48.8222579987,2.3456870006
13090102;SOLAIRE;ECA1;4   RUE DE BRISSAC;4;MIX;Z1 MIX 6H 5U;34F;4.0;"{""type"": ""Point"", ""coordinates"": [2.36512099956599, 48.84882399892863]}";48.8488239989,2.36512099957
14230203;SOLAIRE;ECA1;31 bis  RUE CAILLAUX;13;MIX;Z2 MIX 6H 5U;13M;2.4;"{""type"": ""Point"", ""coordinates"": [2.359375999653018, 48.82225799886636]}";48.8222579989,2.35937599965
14430201;SOLAIRE;ECA1;27   RUE CAMBACERES;8;MIX;Z1 MIX 6H 5U;8H;4.0;"{""type"": ""Point"", ""coordinates"": [2.317710000446516, 48.873698999444635]}";48.8736989994,2.31771000045
14470201;SOLAIRE;ECA1;17   RUE DU CAMBODGE;20;MIX;Z2 MIX 6H 5U;20R;2.4;"{""type"": ""Point"", ""coordinates"": [2.397868000488048, 48.86633899908323]}";48.8663389991,2.39786800049
14710101;PILE;ECM1;3   RUE CAMPAGNE PREMIERE;14;MIX;Z2 MIX 6H 5U;14P;2.4;"{""type"": ""Point"", ""coordinates"": [2.333394000087538, 48.8403039991733]}";48.8403039992,2.33339400009
15500802;SOLAIRE;ECA1;68   RUE CARDINET;17;MIX;Z2 MIX 6H 5U;17K;2.4;"{""type"": ""Point"", ""coordinates"": [2.307997999932113, 48.88360299949124]}";48.8836029995,2.30799799993
15501002;SOLAIRE;ECA1;86   RUE CARDINET;17;MIX;Z2 MIX 6H 5U;17K;2.4;"{""type"": ""Point"", ""coordinates"": [2.309640999928735, 48.8844139988444]}";48.8844139988,2.30964099993
16250204;SOLAIRE;ECA1;42   RUE CAVENDISH;19;MIX;Z2 MIX 6H 5U;19H;2.4;"{""type"": ""Point"", ""coordinates"": [2.379030000395895, 48.88433299912455]}";48.8843329991,2.3790300004
16530101;SOLAIRE;ECA1;3   RUE CERNUSCHI;17;MIX;Z2 MIX 6H 5U;17L;2.4;"{""type"": ""Point"", ""coordinates"": [2.306828999999122, 48.886110999389295]}";48.8861109994,2.306829
18872403;SOLAIRE;ECA1;121  terre-plein BOULEVARD DE CHARONNE;11;ROT;Z1 ROT 6H 5U;;4.0;"{""type"": ""Point"", ""coordinates"": [2.3937059994279473, 48.856819999037974]}";48.856819999,2.39370599943
19661002;SOLAIRE;ECA1;66   RUE DU CHEMIN VERT;11;MIX;Z1 MIX 6H 5U;11H;4.0;"{""type"": ""Point"", ""coordinates"": [2.377243000189375, 48.85982399901178]}";48.859823999,2.37724300019
19900501;SOLAIRE;ECA1;101   RUE DU CHEVALERET;13;MIX;Z2 MIX 6H 5U;13S;2.4;"{""type"": ""Point"", ""coordinates"": [2.374801000638258, 48.83057899866636]}";48.8305789987,2.37480100064
20150702;SOLAIRE;ECA1;62   AVENUE DE CHOISY;13;ROT;Z2 ROT 6H 5U;;2.4;"{""type"": ""Point"", ""coordinates"": [2.362340000602121, 48.82329099933092]}";48.8232909993,2.3623400006
20151001;SOLAIRE;ECA1;131   AVENUE DE CHOISY;13;MIX;Z2 MIX 6H 5U;13L;2.4;"{""type"": ""Point"", ""coordinates"": [2.359218000286529, 48.82677999906739]}";48.8267799991,2.35921800029
20151201;SOLAIRE;ECA1;165   AVENUE DE CHOISY;13;MIX;Z2 MIX 6H 5U;13L;2.4;"{""type"": ""Point"", ""coordinates"": [2.358015000477487, 48.82840099950496]}";48.8284009995,2.35801500048
20250101;SOLAIRE;ECA1;3   RUE CHRISTIAN DEWET;12;MIX;Z2 MIX 6H 5U;12H;2.4;"{""type"": ""Point"", ""coordinates"": [2.392816999350827, 48.846161998721676]}";48.8461619987,2.39281699935
20610106;PILE;ECM1;24   RUE DE CIVRY;16;MIX;Z2 MIX 6H 5U;16Y;2.4;"{""type"": ""Point"", ""coordinates"": [2.257402999330925, 48.84284899908235]}";48.8428489991,2.25740299933
20840202;SOLAIRE;ECA1;14   RUE CLAUDE TERRASSE;16;MIX;Z2 MIX 6H 5U;16Z;2.4;"{""type"": ""Point"", ""coordinates"": [2.262381000017133, 48.83889699876858]}";48.8388969988,2.26238100002
21131602;SOLAIRE;ECA1;48   BOULEVARD DE CLICHY;18;MIX;Z2 MIX 6H 5U;18F;2.4;"{""type"": ""Point"", ""coordinates"": [2.335555000621731, 48.883105999370144]}";48.8831059994,2.33555500062
21850204;SOLAIRE;ECA1;24   RUE DU COLISEE;8;ROT;Z1 ROT 6H 5U;;4.0;"{""type"": ""Point"", ""coordinates"": [2.309620999775834, 48.87118999901619]}";48.871189999,2.30962099978
22140204;SOLAIRE;ECA1;16   RUE DU COLONEL PIERRE AVIA;15;MIX;Z2 MIX 6H 5U;15X;2.4;"{""type"": ""Point"", ""coordinates"": [2.275738999400842, 48.83013499891525]}";48.8301349989,2.2757389994
22520401;SOLAIRE;ECA1;65   RUE COMPANS;19;MIX;Z2 MIX 6H 5U;19L;2.4;"{""type"": ""Point"", ""coordinates"": [2.391838000279925, 48.87926199935173]}";48.8792619994,2.39183800028
22680203;SOLAIRE;ECA1;13   RUE CONDORCET;9;MIX;Z1 MIX 6H 5U;9F;4.0;"{""type"": ""Point"", ""coordinates"": [2.347208000557224, 48.879570999386935]}";48.8795709994,2.34720800056
23280202;SOLAIRE;ECA1;30   RUE DES CORDELIERES;13;MIX;Z2 MIX 6H 5U;13H;2.4;"{""type"": ""Point"", ""coordinates"": [2.3487950005648592, 48.83399799903364]}";48.833997999,2.34879500056
23550401;SOLAIRE;ECA1;50  vis-à-vis RUE CORVISART;13;MIX;Z2 MIX 6H 5U;13J;2.4;"{""type"": ""Point"", ""coordinates"": [2.34797799995296, 48.831333998687825]}";48.8313339987,2.34797799995
23860204;SOLAIRE;ECA1;8 bis  BOULEVARD DE COURCELLES;17;MIX;Z2 MIX 6H 5U;17K;2.4;"{""type"": ""Point"", ""coordinates"": [2.314338000670928, 48.8811669986238]}";48.8811669986,2.31433800067
23870803;SOLAIRE;ECA1;43   RUE DE COURCELLES;8;ROT;Z1 ROT 6H 5U;;4.0;"{""type"": ""Point"", ""coordinates"": [2.307975999424947, 48.876128999140654]}";48.8761289991,2.30797599942
24180201;PILE;ECM1;11 bis  RUE COYSEVOX;18;MIX;Z2 MIX 6H 5U;18E;2.4;"{""type"": ""Point"", ""coordinates"": [2.329762999578453, 48.89187199901822]}";48.891871999,2.32976299958
24591801;PILE;ECM1;205   RUE DE LA CROIX NIVERT;15;MIX;Z2 MIX 6H 5U;15V;2.4;"{""type"": ""Point"", ""coordinates"": [2.28956799973503, 48.836962998839915]}";48.8369629988,2.28956799974
60230101;PILE;ECM1;14   RUE CUVIER;5;MIX;Z1 MIX 6H 5U;5G;4.0;"{""type"": ""Point"", ""coordinates"": [2.356018489608343, 48.84436144915631]}";48.8443614492,2.35601848961
25470302;SOLAIRE;ECA1;22   RUE DANIEL STERN;15;MIX;Z2 MIX 6H 5U;15E;2.4;"{""type"": ""Point"", ""coordinates"": [2.293179999893101, 48.85131699927811]}";48.8513169993,2.29317999989
25650101;SOLAIRE;ECA1;5   RUE DARCET;17;MIX;Z2 MIX 6H 5U;17R;2.4;"{""type"": ""Point"", ""coordinates"": [2.325082000191436, 48.88344899938242]}";48.8834489994,2.32508200019
25720102;PILE;ECM1;4   RUE DAREAU;14;MIX;Z2 MIX 6H 5U;14H;2.4;"{""type"": ""Point"", ""coordinates"": [2.3389050003898992, 48.83186499941268]}";48.8318649994,2.33890500039
25842402;PILE;ECM1;184   AVENUE DAUMESNIL;12;MIX;Z2 MIX 6H 5U;12K;2.4;"{""type"": ""Point"", ""coordinates"": [2.397443000255894, 48.8387079990325]}";48.838707999,2.39744300026
27220202;SOLAIRE;ECA1;38   RUE DESBORDES VALMORE;16;MIX;Z2 MIX 6H 5U;16N;2.4;"{""type"": ""Point"", ""coordinates"": [2.276759999691251, 48.86030899940105]}";48.8603089994,2.27675999969
27280103;SOLAIRE;ECA1;29   RUE DESCOMBES;17;MIX;Z2 MIX 6H 5U;17G;2.4;"{""type"": ""Point"", ""coordinates"": [2.291865000352905, 48.88536399908905]}";48.8853639991,2.29186500035
27280102;SOLAIRE;ECA1;4   RUE DESCOMBES;17;MIX;Z2 MIX 6H 5U;17G;2.4;"{""type"": ""Point"", ""coordinates"": [2.293426999332253, 48.88427099902733]}";48.884270999,2.29342699933
27940801;PILE;ECM1;53   RUE DIDOT;14;MIX;Z2 MIX 6H 5U;14M;2.4;"{""type"": ""Point"", ""coordinates"": [2.319782999652876, 48.83116099932546]}";48.8311609993,2.31978299965
28160806;PILE;ECM1;88   AVENUE DU DOCTEUR ARNOLD NETTER;12;MIX;Z2 MIX 6H 5U;12R;2.4;"{""type"": ""Point"", ""coordinates"": [2.406300999848708, 48.84688999870084]}";48.8468899987,2.40630099985
29210601;PILE;ECM1;53   RUE DOUDEAUVILLE;18;MIX;Z2 MIX 6H 5U;18H;2.4;"{""type"": ""Point"", ""coordinates"": [2.352560000253627, 48.88831899888337]}";48.8883189989,2.35256000025
