Identifiant station;Nom de la station;Capacité de la station;Coordonnées géographiques
17107;Berthier - Place Stuart Merril;37;48.8859279224,2.29334503412
15311;Quai du Président Roosevelt - Pont Aval;30;48.8343883676,2.26568207145
17119;Toqueville - Cardinet;33;48.8849018711,2.31093931943
12005;Crozatier - Faubourg Saint-Antoine;29;48.8504400134,2.37890136621
12155;Rottembourg - Général Michel Bizot;43;48.8378782599,2.40440525115
15129;Hôpital Necker;40;48.8460434901,2.31324501336
6010;Chevreuse - Montparnasse;15;48.8417391612,2.33155221674
13005;Cordelières - Arago;46;48.835480719,2.3485724617
10009;Mairie du 10ème;19;48.8720894499,2.35758259892
3012;Square Emile - Chautemps;25;48.8674337242,2.35363572836
2005;Montmartre - Etienne Marcel;16;48.8650219458,2.34506844014
3006;Mairie du 3ème;32;48.8644617814,2.36176282167
3002;Saint-Gilles - Turenne;18;48.8581589568,2.3647149921
23101;Grande Rue - Europe;25;48.8218104688,2.20587987453
48008;Guy Môquet - Parvis Georges Marchais;30;48.795188401,2.35943466425
2109;Réaumur - Montmartre;19;48.8682309998,2.34382603389
10166;Strasbourg - Saint-Denis;16;48.8696016424,2.35429085791
23301;Les Blagis;27;48.785205,2.302526
15041;Franquet - Labrouste;37;48.8328770501,2.30676278472
18010;Riquet - Marx Dormoy;29;48.890210037,2.36017562449
13120;Pierre Joseph Desault;19;48.821102308,2.3787754029
21021;Enfants du Paradis - Peupliers;40;48.8331226865,2.25714594126
20106;Mairie du 20ème;27;48.8653023243,2.39906698465
18018;Carpeaux - Place Jacques Froment;19;48.8906542,2.3309428
16022;Jean Bologne - Passy;19;48.8575668898,2.28002739531
6015;André Mazet - Saint-André des Arts;55;48.8537558106,2.33909580857
8103;Artois - Berri;23;48.8739352124,2.30642583221
18111;Félix Ziem - Armand Gauthier;25;48.8894963049,2.3333936588
9106;Boudreau - Auber;14;48.87219,2.329423
17040;Pereire - Ternes;48;48.8797395483,2.28801213205
5020;Institut du Monde Arabe - Saint-Germain;40;48.8490632995,2.35580865294
12111;Claude Decaen - Cannebière;27;48.8376141704,2.3972537822
6006;Notre-Dame-des-Champs - Stanislas;19;48.8447992886,2.32933775589
18003;Cimetière de Montmartre;43;48.8864724661,2.33289018273
12114;Victor Hugo - Jeanne Jugan;28;48.843949064,2.41508139483
46003;Conservatoire de Musique;25;48.7709358667,2.40340143442
18031;Place Albert Kahn;46;48.8957969798,2.34558558413
44013;Edouard Tremblay - Julian Grimau;30;48.7813838251,2.37235084176
14012;Sibelle - Alésia;25;48.8267017585,2.33849834651
41202;Gare Rer de Fontenay sous Bois;61;48.8436279,2.4630465
17031;Place de la Porte de Champerret;28;48.8856174163,2.29078141128
1119;Cossonnerie - Sébastopol;24;48.8613266591,2.34941963106
41601;Général De Gaulle - Alouette;26;48.839109,2.4175664
14110;Abbé Carton - Plantes;25;48.8276738232,2.3209181428
11024;Mairie du 11ème;51;48.858925,2.3789759
22006;Pierret - Madrid;28;48.8829765769,2.26012576725
5006;Saint-Jacques - Soufflot;19;48.8465255,2.343099
8035;Bienfaisance - Place de Narvik;36;48.8766016346,2.31297712773
10011;Bourse du Travail;17;48.8689766388,2.3623438552
15010;Square Cambronne;59;48.8475665453,2.30256915092
20119;Square des Saint-Simoniens;25;48.8701796,2.3967273
10001;René Boulanger - Lancry;62;48.8685433,2.3600032
10005;Petites Ecuries - Faubourg Poissonnière;18;48.8739721724,2.3483887575
5026;Pascal - Claude Bernard;49;48.8390619522,2.34997820109
21111;Professeur René Leriche - Général Leclerc;50;48.9078284548,2.3078879714
13016;Primo Levi - Frigos;34;48.8309484485,2.37965351593
21003;Jean Jaurès - Jean Baptiste Clément;24;48.8457626145,2.23696500063
11116;Faubourg St-Antoine - Place de la Nation;37;48.8487659,2.3940436
7007;Musée d'Orsay;65;48.8597261579,2.32586044818
32001;Proudhon - Président Wilson;30;48.9064427635,2.35849052668
6017;Sénat - Condé;33;48.8495422779,2.3379394412
8056;Beaujon - Wagram;29;48.875352456,2.29644164443
12108;Bercy;66;48.839966915,2.3788625747
20026;Gambetta - Hôpital Tenon;35;48.867925154,2.40097662355
8104;Chateaubriand - Friedland;31;48.8740144756,2.29991625787
20017;Saint-Blaise - Mouraud;27;48.856961776,2.40869477391
8015;Roquépine - Malesherbes;37;48.8734507339,2.32040449977
23302;Parc de Sceaux - Centre-Ville;33;48.7769529826,2.29572147131
8004;Malesherbes - Place de la Madeleine;67;48.8704060285,2.32324350981
11103;Pelée - Alphonse Baudin;38;48.8600265,2.3710541
10017;Gare de l'Est - Fidélité;15;48.874575,2.356796
5107;Pontoise - La Tournelle;23;48.8504580092,2.35245427549
16101;Malakoff - Place de la Porte Maillot;31;48.8767334966,2.28345774114
19034;Porte de Pantin - Petits Ponts;52;48.8904108624,2.39819392562
12043;Daumesnil - Hébrard;40;48.8429,2.38474
19108;Gaston Tessier - Rosa Parks RER;37;48.8963765,2.3743692
18007;Goutte d'or - Barbès;20;48.8851243236,2.34969623387
17111;Lemercier - Cardinet;24;48.8900971689,2.3173776269
15071;Suffren - Champ de Mars;23;48.8547194,2.2952168
15102;Square Bela Bartok;24;48.8512015683,2.28465367109
2108;Vivienne - Montmartre;39;48.8713475974,2.34145883471
4104;Sebastopol - Rambuteau;16;48.8618180927,2.3501381278
4019;Cloître Saint-Merri - Renard;32;48.8588354489,2.35182791948
2112;Bibliothèque Nationale;17;48.8682889935,2.33808930963
15127;Place Charles Michels;37;48.846401,2.28502
6002;Saint-Benoît - Jacob;23;48.8554513601,2.33347222209
16019;Porte de la Muette;36;48.8630231784,2.26871881702
18139;Poissonniers - Championnet;28;48.8954329973,2.35301781446
12036;Reuilly - Place Felix Eboue;42;48.840302745,2.39463039872
15128;Cadix - Hameau;37;48.8340107632,2.28951618075
21309;Mairie d'Issy;41;48.8237677925,2.27231115103
1007;Turbigo - Française;16;48.8635885811,2.34777946025
19002;Centquatre;42;48.8893335385,2.37078543752
19201;Petit - Georges Thill;23;48.88603132,2.3895753175
23702;Hôtel de Ville de Chaville;20;48.8088714909,2.18813404441
1017;Saint-Honoré - 29 juillet;20;48.8655711428,2.33056741758
48007;Parc Départemental des Hautes-Bruyères;30;48.7934579014,2.35090121627
16010;Belles Feuilles - Place de Mexico;23;48.8658047465,2.28292062879
13116;Place du Docteur Yersin;50;48.8201049499,2.37255837768
8040;Pierre Charron - Champs-Elysées;32;48.8701033599,2.30435013771
17036;Place Tristan Bernard;28;48.8791964,2.2915403
35013;Guillaume Tell - Parc Henri Barbusse;20;48.8895892589,2.41988629103
31105;Lavoisier - Missak Manouchian;18;48.862864689,2.49567646533
17110;Legendre - Nollet;30;48.8877421868,2.32029307988
21207;Verdier - République;29;48.8154037663,2.31739372015
10031;Louis Blanc - Aqueduc;37;48.8820301826,2.36356157809
15113;Arsonval - Falguière;25;48.8404004037,2.3131178673
13023;Bobillot - Moulin des Prés;28;48.8286573462,2.35302064632
41301;Bois de Vincennes - Gare;50;48.8360222429,2.47083399508
15047;Morillons - Dantzig;52;48.8331014995,2.29938000441
17010;Jonquière - Docteur Paul Brousse;40;48.8947998167,2.31870521217
17032;Jean Oestreicher - Porte de Champerret;21;48.8865558007,2.28864043951
8016;Square Louis XVI;29;48.873204401,2.32365883074
18024;Clignancourt - Ordener;35;48.8914577262,2.34863647806
17043;Belidor - Gouvion-Saint-Cyr;40;48.8802215405,2.2854680568
18011;Pajol - Place Herbert;39;48.8927825,2.3635598
19103;Manin - Carrières d'Amérique;20;48.8846721421,2.3919698596
15105;Fédération - Suffren;25;48.8528281534,2.29787763208
35002;Jean Jaurès - Presles;30;48.907134415,2.39600572805
9116;Victoire - Chaussée d'Antin;24;48.875065791,2.33167380095
20134;Lieutenant Chauré - Etienne Marey;20;48.8674619541,2.40597099066
13041;Porte d'Ivry;50;48.8217687476,2.36887067556
7112;Quai d'Orsay - Invalides;18;48.8630969001,2.31698962102
13049;Vincent Auriol - Louise Weiss;22;48.8340019355,2.37038880587
12024;Gare de Bercy;35;48.8397945739,2.38260660321
17050;Batignolles - Abel Truchet;28;48.8831039046,2.32383474909
20021;Indre - Prairies;38;48.8625439851,2.40329045802
15032;Félix Faure - Lourmel;58;48.8386890171,2.2818081826
20116;Haies - Réunion;22;48.8538689677,2.40242616224
12004;Traversière - Ledru-Rollin;34;48.8507358241,2.37587011171
45001;Hôtel de Ville de Champigny sur Marne;21;48.8138106284,2.50967592001
18042;Place Pigalle;21;48.8827555,2.3361566
20019;Place du Maquis du Vercors;31;48.8773215795,2.40837827325
15063;Convention - Saint-Charles;19;48.8431561111,2.28310905397
11003;Keller - La Roquette;34;48.8555508,2.3752778
47002;Les Juilliottes;21;48.8043072,2.4437362
11107;Faidherbe - Dahomey;44;48.8513583298,2.3838231348
11110;Roquette - Folie Regnault;52;48.8592469592,2.38655362358
12127;Tremblay - Lac des Minimes;48;48.8341312615,2.45475165546
13035;Choisy - Tolbiac;26;48.8259115559,2.36023932695
9036;Athènes - Clichy;20;48.8781137879,2.32956021946
20002;Square de la rue Pixérécourt;15;48.8736824,2.3960278
5029;Georges Bernanos - Port Royal;30;48.8401452135,2.33735740185
31025;Paul Signac - Aristide Briand;35;48.8695026216,2.4502260983
4003;Quai aux Fleurs - Pont Saint-Louis;21;48.8529159562,2.35219571739
21217;Louis Rolland - République;26;48.8171088974,2.3193106435
15062;Convention - Lourmel;36;48.8420550417,2.28599108756
16002;Pergolèse - Malakoff;38;48.8752108878,2.28427816182
23010;Voltaire - Anatole France;27;48.8919993603,2.28426273912
11017;Charonne - Bureau;47;48.854176,2.396093
15011;Cambronne - Villa Croix Nivert;62;48.8458475614,2.30175744742
5024;Place Monge;21;48.8427618031,2.35240794718
9011;Geoffroy - Marie;20;48.8737819406,2.34451387634
